NO,dims,Total_acc
1,8028,0.71692
1,3318,0.71539
1,15516,0.71384
1,3566,0.70923
1,3810,0.70769
1,4765,0.70769
1,3546,0.70768
1,3343,0.70615
1,3342,0.70615
1,3328,0.70308
1,3682,0.70308
1,3315,0.70001
1,3336,0.70000
1,3744,0.69999
1,4036,0.69846
1,3479,0.69846
1,3370,0.69846
1,3314,0.69846
1,3362,0.69846
1,4203,0.69693
1,3352,0.69693
1,6176,0.69691
1,3311,0.69589
1,3333,0.69539
1,3304,0.69416
1,3593,0.69385
1,3345,0.69385
1,3323,0.69385
1,3431,0.69231
1,3329,0.69078
1,3517,0.69077
1,3462,0.69077
1,3387,0.68924
1,3401,0.68923
1,3357,0.68923
1,3340,0.68923
1,3393,0.68923
1,3305,0.68771
1,3636,0.68771
1,3407,0.68771
1,3419,0.68769
1,3331,0.68768
1,3411,0.68616
1,3309,0.68564
1,5270,0.68460
1,3312,0.68446
1,3332,0.68384
1,3338,0.68308
1,3908,0.68307
1,3442,0.68307
1,3499,0.68306
1,3347,0.68154
1,4441,0.68001
1,3324,0.68001
1,3313,0.68001
1,3380,0.68000
1,3306,0.67949
1,3376,0.67844
1,3320,0.67770
1,3308,0.67539
1,3319,0.67463
1,3365,0.67385
1,3453,0.67232
1,3325,0.67231
1,3307,0.67078
1,3351,0.67078
1,3322,0.66924
1,3317,0.66771
1,3360,0.66615
1,3339,0.66614
1,3383,0.66155
1,3330,0.65693
2,5346,0.70614
2,10337,0.70462
2,1168,0.69845
2,942,0.69845
2,695,0.69692
2,852,0.69691
2,753,0.69386
2,3695,0.69231
2,2388,0.69077
2,1277,0.68771
2,1431,0.68769
2,820,0.68616
2,813,0.68462
2,698,0.68462
2,1056,0.68461
2,897,0.68310
2,1836,0.68309
2,2876,0.68307
2,708,0.68306
2,1347,0.68154
2,1666,0.67846
2,979,0.67845
2,790,0.67693
2,784,0.67693
2,771,0.67692
2,2065,0.67539
2,775,0.67539
2,721,0.67385
2,699,0.67384
2,691,0.67383
2,741,0.67232
2,700,0.67231
2,763,0.67078
2,756,0.67077
2,1126,0.66923
2,706,0.66770
2,727,0.66615
2,843,0.66615
2,684,0.66461
2,685,0.66461
2,686,0.66460
2,750,0.66309
2,736,0.66308
2,703,0.66308
2,713,0.66155
2,1003,0.66154
2,1536,0.66153
2,884,0.66001
2,806,0.66001
2,716,0.65999
2,873,0.65848
2,680,0.65847
2,734,0.65692
2,693,0.65691
2,692,0.65386
2,795,0.65385
2,1028,0.65231
2,687,0.65230
2,960,0.65077
2,731,0.65077
2,835,0.65076
2,718,0.64924
2,744,0.64923
2,704,0.64923
2,694,0.64923
2,682,0.64923
2,910,0.64771
2,729,0.64770
2,715,0.64770
2,767,0.64769
2,925,0.64616
2,759,0.64307
2,696,0.64307
2,710,0.64306
2,688,0.64155
2,779,0.64001
2,1218,0.63692
2,862,0.63540
2,683,0.63461
2,747,0.63385
2,720,0.63383
2,801,0.63079
2,689,0.63077
2,702,0.62771
2,739,0.62770
2,711,0.62768
2,701,0.62615
2,707,0.62615
2,827,0.62614
2,1089,0.62462
2,681,0.62461
2,725,0.62001
2,690,0.61537
2,723,0.60923
3,8028,0.71077
3,8028,0.68922
3,8028,0.33693
3,8028,0.67288
3,8028,0.62154
3,8028,0.70768
3,3348,0.67777
3,3113,0.71717
3,2625,0.65236
3,5789,0.67372
3,8028,0.66032
3,8028,0.73491
4,8028,0.74128
5,1790,0.66666
5,2611,0.69841
5,3433,0.64126
5,3104,0.66031
6,2283,0.69365
6,3104,0.66031
6,2283,0.65238
6,2611,0.68413
6,2283,0.67938
6,2611,0.65662
7,2283,0.67938
7,2118,0.65714
7,2611,0.65662
7,2283,0.65395
7,2611,0.67301
7,3433,0.63174
7,4254,0.60792
7,1790,0.64921
7,2611,0.64920
7,2611,0.64920
7,2447,0.64127
7,8028,0.75397
7,8028,0.71747
7,2625,0.66985
8,2284,0.55874
8,2284,0.56033
8,1791,0.64128
8,2284,0.56033
8,2612,0.60951
8,3434,0.60951
8,2612,0.60159
8,2284,0.61269
8,2284,0.61111
8,2612,0.64762
8,2612,0.64762
8,2284,0.63967
8,1791,0.65873
8,3434,0.63967
8,1791,0.61900
8,3434,0.63967
8,1791,0.61900
8,3434,0.64443
8,3434,0.64444
9,2612,0.69999
9,7242,0.69208
9,2612,0.65238
9,212,0.64998
9,7242,0.66666
9,7242,0.69842
9,6108,0.68571
9,7242,0.69842
9,6588,0.68571
9,6108,0.67936
K 值的选择 5-20

10,7097,0.69683
10,6974,0.69683
10,7128,0.69047
10,6858,0.67619
10,6108,0.67619
10,6292,0.67460
10,6420,0.67460
10,6588,0.67459
10,6838,0.66984
10,6258,0.66984
10,7056,0.66350
10,6697,0.66349
10,6720,0.65873
10,6552,0.65238
10,6956,0.64921
10,6793,0.64604
10,5980,0.68095
10,5814,0.69364
10,2625,0.72221

10,2625,0.72221
10,2558,0.65872
10,3131,0.69524
10,4098,0.69524
10,2625,0.69208
10,1853,0.69208
10,1779,0.65714
10,2184,0.65078
10,1935,0.64442
10,2045,0.64126
10,6796,0.63490
10,2364,0.61270

12,30523,0.73650
12,10520,0.73016
12,6176,0.72382
12,4765,0.71746
12,5270,0.70160
12,8028,0.69842
12,5647,0.69840
12,15516,0.69524
12,4997,0.69206
12,6893,0.66034
12,0.05,0.70796
12,0.35,0.70476

12,0.1,0.68730
12,0.4,0.68255
12,0.25,0.67938
12,0.2,0.66982
12,0.3,0.66666
12,0.05,0.70796
12,0.4,0.70635
12,0.1,0.68730
12,0.3,0.67938
12,0.25,0.67300
12,0.35,0.66666
12,0.2,0.66664
12,0.05,0.70796
12,0.4,0.70635
12,0.15,0.69842
12,0.3,0.67938
12,0.1,0.67618
12,0.25,0.67300
12,0.35,0.66666
12,0.2,0.66664
12,2625.0,nan
12,0.1,0.68250
k=0.1 mean=0.6889
12,2625,0.68888
k=0.15 mean=0.61586
12,2625,0.61586
12,2625,0.69842
12,2625,0.71428
12,2625,0.68890
12,2625,0.70476
12,2625,0.72066
12,2625,0.70474
12,2625,0.62540
12,2625,0.64126
12,2625,0.66670
