kind,dim,acc_n,acc_p,Accuracy,Precision,Recall
SM-compressed,6108,0.1613,0.4737,0.2800,0.2571,0.4737
SM-compressed,6108,0.0645,0.7368,0.3200,0.3256,0.7368
SM-compressed,6108,0.0323,0.7895,0.3200,0.3333,0.7895
SM-compressed,6108,0.0968,0.6842,0.3200,0.3171,0.6842
SM-compressed,6108,0.0645,0.8947,0.3800,0.3696,0.8947
SM-compressed,6056,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6056,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6056,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6056,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6056,0.0000,1.0000,0.3800,0.3800,1.0000
SM-uncompressed,8028,0.9677,0.2632,0.7000,0.8333,0.2632
SM-uncompressed,8028,0.9677,0.3684,0.7400,0.8750,0.3684
SM-uncompressed,8028,0.8065,0.3684,0.6400,0.5385,0.3684
SM-uncompressed,8028,0.8065,0.5263,0.7000,0.6250,0.5263
SM-uncompressed,8028,0.8710,0.5789,0.7600,0.7333,0.5789
ND,0.050000,0.6176,0.6800,0.6441,0.5667,0.6800
ND,0.050000,0.3235,0.7200,0.4915,0.4390,0.7200
ND,0.050000,0.5588,0.6000,0.5763,0.5000,0.6000
ND,0.100000,0.7059,0.6800,0.6949,0.6296,0.6800
ND,0.100000,0.6176,0.6400,0.6271,0.5517,0.6400
ND,0.100000,0.7059,0.4800,0.6102,0.5455,0.4800
ND,0.150000,0.2941,0.8000,0.5085,0.4545,0.8000
ND,0.150000,0.6471,0.6000,0.6271,0.5556,0.6000
ND,0.150000,0.5588,0.6400,0.5932,0.5161,0.6400

ND,0.200000,0.3824,0.6800,0.5085,0.4474,0.6800
ND,0.200000,0.6765,0.5600,0.6271,0.5600,0.5600
ND,0.200000,0.5588,0.7600,0.6441,0.5588,0.7600

ND,0.250000,0.5882,0.5600,0.5763,0.5000,0.5600
ND,0.250000,0.5588,0.5200,0.5424,0.4643,0.5200
ND,0.250000,0.6471,0.5200,0.5932,0.5200,0.5200
ND,0.300000,0.7353,0.6800,0.7119,0.6538,0.6800
ND,0.300000,0.6471,0.6800,0.6610,0.5862,0.6800
ND,0.300000,0.5588,0.6000,0.5763,0.5000,0.6000
ND,0.350000,0.7353,0.4400,0.6102,0.5500,0.4400
ND,0.350000,0.6765,0.5600,0.6271,0.5600,0.5600
ND,0.350000,0.6765,0.4000,0.5593,0.4762,0.4000
ND,0.400000,0.5882,0.6400,0.6102,0.5333,0.6400
ND,0.400000,0.5588,0.6800,0.6102,0.5312,0.6800
ND,0.400000,0.7059,0.4800,0.6102,0.5455,0.4800
ND,0.450000,0.6471,0.3200,0.5085,0.4000,0.3200
ND,0.450000,0.7059,0.5600,0.6441,0.5833,0.5600
ND,0.450000,0.7647,0.3200,0.5763,0.5000,0.3200
ND,0.500000,0.7941,0.4000,0.6271,0.5882,0.4000
ND,0.500000,0.6471,0.2800,0.4915,0.3684,0.2800
ND,0.500000,0.7059,0.5200,0.6271,0.5652,0.5200
ND,0.050000,0.4412,0.9600,0.6610,0.5581,0.9600
